deg,density,clustering,Ginni,pathLenght,betweenessCentrality,eigenvectorCentrality,PPVsales
1.5333333333333334,0.052873563218390804,0.0,0.2318840579710145,2.8333333333333335,0.2619047619047619,0.30699971103275625,54166.666666666664
1.5333333333333334,0.052873563218390804,0.0,0.2318840579710145,2.8333333333333335,0.2619047619047619,0.30699971103275625,54166.666666666664
1.6296296296296295,0.06267806267806268,0.0,0.2441077441077441,2.8333333333333335,0.2619047619047619,0.30699971103275625,52857.142857142855
1.6296296296296295,0.06267806267806268,0.0,0.2441077441077441,2.8333333333333335,0.2619047619047619,0.30699971103275625,52857.142857142855
1.92,0.08,0.0,0.25,3.1794871794871793,0.1981351981351981,0.2391037935521629,58750.0
1.9090909090909092,0.09090909090909091,0.0,0.22510822510822512,3.1636363636363636,0.24040404040404043,0.26493652231844583,58750.0
1.9090909090909092,0.09090909090909091,0.0,0.22510822510822512,3.1636363636363636,0.24040404040404043,0.26493652231844583,58750.0
1.9,0.1,0.0,0.21842105263157896,3.1636363636363636,0.24040404040404043,0.26493652231844583,58888.88888888889
1.9,0.1,0.0,0.21842105263157896,3.1636363636363636,0.24040404040404043,0.26493652231844583,58888.88888888889
1.7272727272727273,0.08225108225108226,0.0,0.2894736842105263,3.1333333333333333,0.1523809523809524,0.22589461198044328,56500.0
1.7272727272727273,0.08225108225108226,0.0,0.2894736842105263,3.1333333333333333,0.1523809523809524,0.22589461198044328,55818.181818181816
1.8,0.09473684210526316,0.0,0.2916666666666667,3.1333333333333333,0.1523809523809524,0.22589461198044328,55818.181818181816
1.8,0.09473684210526316,0.0,0.2916666666666667,3.1333333333333333,0.1523809523809524,0.22589461198044328,55818.181818181816
1.8,0.09473684210526316,0.0,0.2916666666666667,3.1333333333333333,0.1523809523809524,0.22589461198044328,55818.181818181816
1.8,0.09473684210526316,0.0,0.2916666666666667,2.9904761904761905,0.15311355311355312,0.23629819308469838,57545.454545454544
1.8,0.09473684210526316,0.0,0.2916666666666667,2.9904761904761905,0.15311355311355312,0.23629819308469846,56800.0
1.8181818181818181,0.08658008658008658,0.0,0.32045454545454544,3.0661764705882355,0.13774509803921567,0.2192022937080699,55272.72727272727
1.8181818181818181,0.08658008658008658,0.0,0.32045454545454544,3.0661764705882355,0.13774509803921567,0.2192022937080699,55272.72727272727
1.8333333333333333,0.07971014492753623,0.0,0.3352272727272727,2.9934640522875817,0.12459150326797386,0.20662257647752427,59363.63636363636
1.8333333333333333,0.07971014492753623,0.0,0.3352272727272727,2.9934640522875817,0.12459150326797386,0.20662257647752427,59363.63636363636
2.0,0.09523809523809523,0.09393939393939393,0.31611570247933884,3.052287581699346,0.12826797385620914,0.19261090008878812,63909.09090909091
1.9047619047619047,0.09523809523809523,0.1,0.30238095238095236,3.448529411764706,0.1632352941176471,0.19813117373263642,65300.0
1.9047619047619047,0.09523809523809523,0.1,0.30238095238095236,3.448529411764706,0.1632352941176471,0.19813117373263642,65300.0
2.0,0.10526315789473684,0.17833333333333332,0.27,3.257142857142857,0.17362637362637362,0.20819158847206,69363.63636363637
1.9,0.1,0.10833333333333335,0.2394736842105263,3.723809523809524,0.20952380952380956,0.22907175542929403,71800.0
2.0,0.1,0.07142857142857142,0.2743764172335601,4.6,0.18947368421052632,0.15967630983632106,72545.45454545454
