fighter,pearson
Mickey Gall,0.5072646556275731
Cristiane Justino,nan
Olivier Aubin-Mercier,0.1059771504899636
Erik Koch,0.3822789817738871
Sam Alvey,0.15931974925831105
Ray Borg,0.334494626171022
Urijah Faber,0.42576286104509364
Pingyuan Liu,-0.023599039579911205
Benito Lopez,-0.15465564015122943
Gilbert Melendez,0.308361595200472
Edmen Shahbazyan,-0.09421895966137454
Alejandro Perez,-0.045219871070704666
Emily Whitmire,nan
Andrea Lee,nan
Allen Crowder,0.03476971458136792
Tatiana Suarez,nan
Yan Xiaonan,nan
Stevie Ray,-0.2538206393480201
Tonya Evinger,nan
Damir Hadzovic,0.2488667094976459
Alexander Gustafsson,-0.22551030212585182
Daniel Teymur,0.21720070924851606
Jimi Manuwa,0.3176778136648303
Nick Hein,0.3765740246017659
Bea Malecki,nan
Desmond Green,0.06292974882601385
Antonio Carlos Junior,0.20471563958546346
Zak Cummings,0.24426048503028192
Michael Trizano,-0.0339536683325234
Danny Roberts,-0.21781327590336097
Patrick Cummins,0.29005808370249875
Jared Cannonier,-0.16288559426901913
Rogerio Nogueira,0.32223360624376607
Thiago Moises,-0.09385098671143183
Rose Namajunas,nan
BJ Penn,0.24034952157652328
Luana Carolina,nan
Talita Bernardo,nan
Walt Harris,-0.20517278363708114
Kyle Nelson,0.09679343676650912
Arjan Bhullar,-0.1314650386114169
Mitch Gagnon,0.2949502257102886
Ben Saunders,-0.14247469175346028
Krzysztof Jotko,0.3485387428068192
Sergei Pavlovich,-0.07744566741880117
Sultan Aliev,0.22012646397258673
Magomed Mustafaev,-0.15419205006900227
Curtis Millender,0.0014056803187242938
Wilson Reis,0.2541963890640725
Boston Salmon,0.19755122777935374
Lauren Mueller,nan
Ross Pearson,0.5195726939472203
Sodiq Yusuff,-0.14140737450192675
Alex Perez,-0.07682325641976419
John Makdessi,0.2500349661420699
Eric Shelton,0.2790723839111714
Ryan MacDonald,-0.030508682043641534
Jack Marshman,0.3223880424799235
Darren Till,0.08173078866114517
Danny Henry,0.14210160680521455
Nicolae Negumereanu,nan
Mike Grundy,-0.02018876912556719
Tim Boetsch,0.2543728632827707
Anthony Rocco Martin,-0.20144845714400078
Cody Garbrandt,-0.16612624095686582
Dwight Grant,-0.022537455504799714
Liz Carmouche,nan
Michel Prazeres,0.05649239674582435
Aleksandra Albu,nan
Renan Barao,0.7710826165355051
Wuliji Buren,0.009401441568971219
Teruto Ishihara,0.553270046127744
Mara Romero Borella,nan
Junior Albini,0.17118895308106377
Bibulatov Magomed,0.24839635328087842
Gregor Gillespie,-0.09527448338642255
Paige VanZant,nan
Dennis Bermudez,0.47209216999462333
Kyle Stewart,0.06844678517706759
Chad Mendes,-0.07422348416907845
Cat Zingano,nan
Ilir Latifi,0.3088111765882937
Zak Ottow,0.042208074272823526
Trevor Smith,-0.08416250166850628
Adam Milstead,0.3054579756181634
Chris de la Rocha,0.2490042400803626
Elias Theodorou,0.13233888491914034
Chad Laprise,0.44388694673280205
Mark Hunt,0.26032051042841564
Suman Mokhtarian,0.08321412264782467
Yushin Okami,-0.17243259896140906
Alex Gorgees,nan
Keita Nakamura,0.2470239026547039
Elias Garcia,0.10120970060108139
Mizuto Hirota,-0.01750970981321135
Darren Stewart,0.08066846261400627
Rick Glenn,0.2816420309124249
Pannie Kianzad,nan
Julija Stoliarenko,nan
Hu Yaozong,-0.07272644540009074
Guido Cannetti,-0.04971503232081197
Cynthia Calvillo,nan
Cezar Ferreira,0.5076484897395573
Devin Powell,0.11329404092885179
Humberto Bandenay,0.12522454671819164
Nad Narimani,0.22053583707892704
Laureano Staropoli,-0.12089270988629751
Chan Sung Jung,-0.034708317417403364
Joseph Morales,0.07057381338193894
Jason Knight,0.47206405128673584
Chris Weidman,-0.09694358419116691
Adam Wieczorek,0.11137752098997063
Alex Garcia,0.32324894639116675
Thibault Gouti,0.17198547799274064
Andre Soukhamthath,0.2866376644700016
Te Edwards,0.12029765084941982
Lina Lansberg,nan
Ryan LaFlare,0.5124728647271949
Gray Maynard,0.1008885229462765
Luis Henrique,-0.06758612004334083
Augusto Sakai,-0.08788081412772687
Thales Leites,-0.18413827527351645
Aleksei Kunchenko,-0.054405084795708186
Khalid Murtazaliev,nan
Adam Yandiev,nan
Robert Sanchez,-0.09083351397076227
John Moraga,0.47222151217245206
James Krause,0.0627536726351874
Jake Ellenberger,0.48982356863145554
Justin Gaethje,-0.07551680883415321
TJ Dillashaw,-0.0789310207406374
Demetrious Johnson,-0.10272582195079372
Matt Sayles,0.0163320232664967
Danielle Taylor,nan
Kajan Johnson,0.20006389562522156
Eddie Alvarez,-0.043841846147205384
Jordan Mein,0.22233719819728653
Dustin Ortiz,0.5960191918629609
Emil Meek,0.41514767759602283
Vitor Miranda,0.36557195256194397
Davey Grant,-0.02300532688627597
Justin Ledet,0.015087334174533522
Jeremy Kimball,0.0081446574114864
Damian Stasiak,0.28691211618217183
Myles Jury,0.31438204956525706
Randy Brown,-0.2606944404721103
Sage Northcutt,0.38360958709877974
Kurt Holobaugh,-0.07704054948206102
Justin Scoggins,0.4724831014416481
Jessica Aguilar,nan
Gokhan Saki,0.040520145034516473
Jamie Moyle,nan
Jay Cucciniello,nan
John Gunther,-0.2212113201497092
Matt Bessette,0.2086066889374445
Tyler Diamond,nan
Felipe Arantes,-0.06126809777734775
