fighter,pearson
Jake Matthews,nan
Callan Potter,nan
Priscila Cachoeira,nan
Corey Anderson,0.2543601181482333
Devin Clark,nan
Mark De La Rosa,0.24372547561910177
Macy Chiasson,nan
Juan Adams,nan
Jon Jones,0.08807316194357129
Domingo Pilarte,nan
Austin Lingo,nan
Justine Kish,nan
Bevon Lewis,nan
Arnold Allen,nan
Sara McMann,nan
Hannah Cifers,nan
Conor McGregor,-0.23840508929549634
Drew Dober,-0.12598102070136344
Aleksa Camur,nan
Dooho Choi,nan
Frankie Edgar,0.26522790038210753
Dong Hyun Ma,nan
Heili Alateng,nan
Geoff Neal,nan
Aspen Ladd,nan
Thiago Alves,0.07395891082205419
Joe Solecki,nan
Virna Jandiroba,nan
Sergio Moraes,0.027860753093328576
Charles Oliveira,-0.1425520326848124
Antonio Arroyo,nan
Vanessa Melo,nan
Zelim Imadaev,-0.07982366155724221
Rustam Khabilov,0.5276483341052884
Zabit Magomedsharipov,0.10093155929885567
Abubakar Nurmagomedov,nan
Alexander Yakovlev,nan
Grigory Popov,nan
Lyman Good,nan
Enrique Barzola,0.20029835822795922
Joe Lauzon,0.2643690727664329
Randy Costa,nan
Kyle Bochniak,-0.053375084569168105
Matt Frevola,nan
Niko Price,nan
Marlon Vera,-0.09935774570398076
Marvin Vettori,nan
JJ Aldrich,nan
Al Iaquinta,-0.05788330884616383
Khalid Taha,nan
Nadia Kassem,nan
Michal Oleksiejczuk,nan
Gunnar Nelson,0.19189346110501682
Brandon Davis,-0.19327862264487494
Jose Quinonez,nan
Ariane Carnelossi,nan
Marco Polo Reyes,nan
Irene Aldana,nan
Vinicius Moreira,0.1084928193747754
Claudio Puelles,nan
Sergio Pettis,0.28065915669610253
Glover Teixeira,0.049747953305820734
Todd Duffee,nan
Kyle Prepolec,nan
Chas Skelly,nan
Don Madge,nan
Nordine Taleb,0.20477578243729055
Li Jingliang,nan
Damir Ismagulov,nan
Yoel Romero,0.23574654122916966
Daniel Cormier,0.032500111918211554
Manny Bermudez,-0.05495398535281805
Eduardo Garagorri,nan
Kazula Vargas,nan
Joaquim Silva,nan
Scott Holtzman,nan
Darko Stosic,nan
Mickey Gall,nan
Cristiane Justino,nan
Olivier Aubin-Mercier,nan
Erik Koch,0.02323156264156387
Sam Alvey,0.1858245098649493
Ray Borg,-0.06089110932489353
Urijah Faber,0.4790945137903071
Pingyuan Liu,nan
Benito Lopez,-0.10162156719116294
Gilbert Melendez,0.4473104008256797
Edmen Shahbazyan,-0.10287708970138744
Alejandro Perez,-0.19717754670776783
Emily Whitmire,nan
Andrea Lee,nan
Allen Crowder,nan
Tatiana Suarez,nan
Yan Xiaonan,nan
Stevie Ray,-0.02585904229998113
Tonya Evinger,nan
Damir Hadzovic,nan
Alexander Gustafsson,0.37059460184825344
Daniel Teymur,nan
Jimi Manuwa,0.4546399293292738
Nick Hein,nan
Bea Malecki,nan
Desmond Green,nan
Antonio Carlos Junior,nan
Zak Cummings,nan
Michael Trizano,nan
Danny Roberts,-0.15666961673013702
Patrick Cummins,0.5564808584717518
Jared Cannonier,-0.08005360543697544
Rogerio Nogueira,0.3715538189987344
Thiago Moises,nan
Rose Namajunas,nan
BJ Penn,-0.20638346650980616
Luana Carolina,nan
Talita Bernardo,nan
Walt Harris,-0.16997090666426257
Kyle Nelson,nan
Arjan Bhullar,nan
Mitch Gagnon,nan
Ben Saunders,-0.02905442828827097
Krzysztof Jotko,0.1703358992411815
Sergei Pavlovich,nan
Sultan Aliev,nan
Magomed Mustafaev,nan
Curtis Millender,-0.08811682226911069
Wilson Reis,0.14053669712734856
Boston Salmon,nan
Lauren Mueller,nan
Ross Pearson,0.07393917579520293
Sodiq Yusuff,-0.09915331120447111
Alex Perez,-0.09624251402516781
John Makdessi,nan
Eric Shelton,0.029102762501891127
Ryan MacDonald,nan
Jack Marshman,nan
Darren Till,-0.13152633929102908
Danny Henry,nan
Nicolae Negumereanu,nan
Mike Grundy,nan
Tim Boetsch,0.23011397207194256
Anthony Rocco Martin,nan
Cody Garbrandt,-0.06000709564831347
Dwight Grant,nan
Liz Carmouche,nan
Michel Prazeres,-0.06713806369314447
Aleksandra Albu,nan
Renan Barao,-0.0787374011876867
Wuliji Buren,nan
Teruto Ishihara,nan
Mara Romero Borella,nan
Junior Albini,0.30780015319475745
Bibulatov Magomed,nan
Gregor Gillespie,nan
Paige VanZant,nan
Dennis Bermudez,-0.07420966310161621
Kyle Stewart,nan
Chad Mendes,0.01945006075524123
Cat Zingano,nan
Ilir Latifi,0.26129171769295934
Zak Ottow,nan
Trevor Smith,-0.13183952501895677
Adam Milstead,nan
Chris de la Rocha,nan
Elias Theodorou,0.038111171724316974
Chad Laprise,0.4489295573404424
Mark Hunt,0.725435435570539
Suman Mokhtarian,nan
Yushin Okami,0.04709860050023696
Alex Gorgees,nan
Keita Nakamura,-0.023642953626354143
Elias Garcia,0.11055633265412945
Mizuto Hirota,nan
Darren Stewart,0.050942528230205314
Rick Glenn,nan
Pannie Kianzad,nan
Julija Stoliarenko,nan
Hu Yaozong,nan
Guido Cannetti,nan
Cynthia Calvillo,nan
Cezar Ferreira,0.12169018614387303
Devin Powell,nan
Humberto Bandenay,nan
Nad Narimani,nan
Laureano Staropoli,-0.04778448179366962
Chan Sung Jung,nan
Joseph Morales,nan
Jason Knight,nan
Chris Weidman,0.2500125089434879
Adam Wieczorek,nan
Alex Garcia,nan
Thibault Gouti,nan
Andre Soukhamthath,-0.09538897978128755
Te Edwards,nan
Lina Lansberg,nan
Ryan LaFlare,nan
Gray Maynard,nan
Luis Henrique,nan
Augusto Sakai,nan
Thales Leites,0.01957378227353057
Aleksei Kunchenko,nan
Khalid Murtazaliev,nan
Adam Yandiev,nan
Robert Sanchez,nan
John Moraga,0.2526076695340629
James Krause,0.0484358661969535
Jake Ellenberger,0.47149422318504874
Justin Gaethje,-0.10589920601248246
TJ Dillashaw,-0.12871251748070628
Demetrious Johnson,0.0212930100355348
Matt Sayles,nan
Danielle Taylor,nan
Kajan Johnson,nan
Eddie Alvarez,0.5853744350750785
Jordan Mein,0.08798687911453751
Dustin Ortiz,0.4753769357624935
Emil Meek,nan
Vitor Miranda,nan
Davey Grant,nan
Justin Ledet,nan
Jeremy Kimball,nan
Damian Stasiak,nan
Myles Jury,-0.009892404177088346
Randy Brown,-0.1545577199895351
Sage Northcutt,nan
Kurt Holobaugh,nan
Justin Scoggins,-0.12376630898245061
Jessica Aguilar,nan
Gokhan Saki,nan
Jamie Moyle,nan
Jay Cucciniello,nan
John Gunther,nan
Matt Bessette,nan
Tyler Diamond,nan
Felipe Arantes,-0.04924218631164357
Rolando Dy,nan
Shinsho Anzai,nan
Viviane Pereira,nan
Jenel Lausa,nan
CM Punk,nan
Rashad Coulter,nan
Rashad Evans,0.0769726107253916
Mike Santiago,nan
Jarred Brooks,nan
Johnny Eduardo,nan
Eric Spicely,0.4650609757604258
Daniel Kelly,-0.026104831279239425
Brad Scott,-0.0725513545358683
Alexa Grasso,nan
Diego Rivas,nan
Poliana Botelho,nan
Henry Briones,nan
Vitor Belfort,0.34469447667992315
Alberto Mina,nan
Justin Willis,-0.018311097069284885
Matthew Lopez,nan
Dhiego Lima,nan
Bec Rawlings,nan
